site_id,cf_Status
ST-0002,ACTIVE
ST-0003,ACTIVE
ST-0004,ACTIVE
ST-0005,ACTIVE
ST-0007,ACTIVE
ST-0008,ACTIVE
ST-0010,ACTIVE
ST-0012,ACTIVE
ST-0017,ACTIVE
ST-0022,ACTIVE
ST-0024,ACTIVE
ST-0030,ACTIVE
ST-0031,ACTIVE
ST-0032,ACTIVE
ST-0033,ACTIVE
ST-0035,ACTIVE
ST-0036,ACTIVE
ST-0037,ACTIVE
ST-0039,ACTIVE
ST-0041,ACTIVE
ST-0043,ACTIVE
ST-0045,ACTIVE
ST-0046,ACTIVE
ST-0047,ACTIVE
ST-0054,ACTIVE
ST-0056,ACTIVE
ST-0057,ACTIVE
ST-0059,ACTIVE
ST-0063,TEMPORARILY CLOSED
ST-0065,ACTIVE
ST-0066,ACTIVE
ST-0067,ACTIVE
ST-0068,ACTIVE
ST-0069,ACTIVE
ST-0071,ACTIVE
ST-0074,ACTIVE
ST-0076,ACTIVE
ST-0078,ACTIVE
ST-0080,ACTIVE
ST-0085,ACTIVE
ST-0086,ACTIVE
ST-0090,ACTIVE
ST-0098,ACTIVE
ST-0102,ACTIVE
ST-0103,ACTIVE
ST-0104,ACTIVE
ST-0105,ACTIVE
ST-0106,ACTIVE
ST-0108,ACTIVE
ST-0121,ACTIVE
